question,url_a,url_c
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_102.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_442.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3882.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1782.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1742.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_342.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1242.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5222.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_802.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1522.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1002.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1182.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1142.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1682.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6282.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2142.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4942.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1382.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1202.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3822.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1182.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1462.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_662.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1922.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_562.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1322.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3282.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1702.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_402.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1502.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_762.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1462.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_62.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1642.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4442.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1902.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1102.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_362.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1282.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1382.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2222.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3942.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1162.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_142.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5042.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1862.jpg
